year,unitid,sex,number_applied,number_admitted,number_enrolled_ft,number_enrolled_pt,number_enrolled_total,gender,pct_admitted,pct_matriculated
2015,460765,2,,,,,,Female,,
2015,460765,99,,,,,,Total,,
2015,460774,1,,,,,,Male,,
2015,460774,2,,,,,,Female,,
2015,460774,99,,,,,,Total,,
2015,460783,1,18.0,11.0,8.0,,8.0,Male,0.6111111111111112,0.7272727272727273
2015,460783,2,90.0,60.0,46.0,,46.0,Female,0.6666666666666666,0.7666666666666667
2015,460783,99,108.0,71.0,54.0,,54.0,Total,0.6574074074074074,0.7605633802816901
2015,460808,1,6.0,6.0,6.0,,6.0,Male,1.0,1.0
2015,460808,2,31.0,14.0,14.0,,14.0,Female,0.45161290322580644,1.0
2015,460808,99,37.0,20.0,20.0,,20.0,Total,0.5405405405405406,1.0
2015,460817,1,,,,,,Male,,
2015,460817,2,,,,,,Female,,
2015,460817,99,,,,,,Total,,
2015,460826,1,,,,,,Male,,
2015,460826,2,,,,,,Female,,
2015,460826,99,,,,,,Total,,
2015,460835,1,,,,,,Male,,
2015,460835,2,,,,,,Female,,
2015,460835,99,,,,,,Total,,
2015,460844,1,,,,,,Male,,
2015,460844,2,,,,,,Female,,
2015,460844,99,,,,,,Total,,
2015,460853,1,,,,,,Male,,
2015,460853,2,,,,,,Female,,
2015,460853,99,,,,,,Total,,
2015,460862,1,,,,,,Male,,
2015,460862,2,,,,,,Female,,
2015,460862,99,,,,,,Total,,
2015,460871,1,2.0,1.0,1.0,0.0,1.0,Male,0.5,1.0
2015,460871,2,4.0,3.0,3.0,0.0,3.0,Female,0.75,1.0
2015,460871,99,6.0,4.0,4.0,0.0,4.0,Total,0.6666666666666666,1.0
2015,460899,1,,,,,,Male,,
2015,460899,2,,,,,,Female,,
2015,460899,99,,,,,,Total,,
2015,460905,1,,,,,,Male,,
2015,460905,2,,,,,,Female,,
2015,460905,99,,,,,,Total,,
2015,460914,1,,,,,,Male,,
2015,460914,2,,,,,,Female,,
2015,460914,99,,,,,,Total,,
2015,460923,1,,,,,,Male,,
2015,460923,2,,,,,,Female,,
2015,460923,99,,,,,,Total,,
2015,460932,1,,,,,,Male,,
2015,460932,2,,,,,,Female,,
2015,460932,99,,,,,,Total,,
2015,460941,1,,,,,,Male,,
2015,460941,2,,,,,,Female,,
2015,460941,99,,,,,,Total,,
2015,460950,1,,,,,,Male,,
