opeid6,year,unitid,opeid,lowincome_pct,fafsa_sent_2ormore_pct,fafsa_sent_3ormore_pct,fafsa_sent_4ormore_pct,fafsa_sent_5ormore_pct,count_total_fafsa_applicants,first_gen_student_pct,faminc_mean
2394,2016,175272,239400,0.195672,0.364523,0.179823,0.101493,0.0630905,3281.0,0.211746,81702.5
2391,2016,175281,239100,,,,,,,,
10546,2016,175315,1054600,0.489874,0.389802,0.195854,0.1127,0.0724327,4197.0,0.344373,42234.6
2396,2016,175342,239600,0.663779,0.648619,0.443963,0.338928,0.263129,1847.0,0.345105,27199.5
2397,2016,175421,239700,0.5444060000000001,0.562284,0.338524,0.20876599999999998,0.144175,1734.0,0.395119,39294.3
2398,2016,175430,239800,0.41176499999999994,0.491349,0.25259499999999996,0.15917,0.10726600000000001,289.0,0.36956500000000003,48896.9
20749,2016,175494,2074900,0.811765,0.364706,,,,85.0,0.441176,14345.7
2401,2016,175519,240100,0.835145,0.484903,0.330918,0.24335700000000002,0.16908199999999998,1656.0,0.42307700000000004,15853.3
12891,2016,175528,1289101,0.8909219999999999,0.42606099999999997,0.203514,0.112006,0.062225499999999996,1366.0,0.5315,14431.8
2402,2016,175573,240200,0.695773,0.43047799999999997,0.238042,0.16129000000000002,0.105673,1798.0,0.41135200000000005,25103.0
22499,2016,175607,2249900,,,,,,32.0,,6683.84
2403,2016,175616,240300,0.5574140000000001,0.5650189999999999,0.30190100000000003,0.19924,0.13308,1315.0,0.322716,38443.6
2404,2016,175643,240400,0.628456,0.36817300000000003,0.192178,0.115981,0.0836143,1483.0,0.371318,28257.6
2405,2016,175652,240500,0.669917,0.478245,0.231808,0.132408,0.0802701,2666.0,0.375272,28125.5
22517,2016,175698,2251700,,,,,,53.0,0.44444399999999995,15894.1
22443,2016,175722,2244305,0.822034,0.398305,,,,118.0,0.6,17380.3
2407,2016,175786,240700,0.708434,0.473811,0.272036,0.175904,0.12048199999999999,7885.0,0.382344,24324.3
2408,2016,175810,240800,0.714249,0.530497,0.277294,0.166069,0.10353699999999999,3902.0,0.385389,23564.8
2409,2016,175829,240900,0.614781,0.351537,0.16808399999999998,0.10202699999999999,0.0637672,3058.0,0.413501,27456.2
2410,2016,175856,241000,0.647012,0.657417,0.46318000000000004,0.348986,0.26360700000000004,3748.0,0.319722,29550.2
2411,2016,175883,241100,0.65288,0.42540600000000006,0.23965999999999998,0.14918800000000002,0.09675039999999999,2708.0,0.401834,27887.5
2413,2016,175935,241300,0.683233,0.43528100000000003,0.231567,0.142545,0.09721460000000001,1831.0,0.418575,25548.2
2414,2016,175980,241400,0.264368,0.781609,0.6695399999999999,0.543103,0.442529,348.0,0.167173,87876.9
2416,2016,176008,241600,0.8007380000000001,0.554121,0.361009,0.23616199999999998,0.172817,1626.0,0.424332,16520.0
2440,2016,176017,244000,0.351503,0.49008999999999997,0.286285,0.195972,0.132193,6256.0,0.23502699999999999,76075.7
2422,2016,176035,242200,0.505495,0.479853,0.24688600000000002,0.14652,0.104029,1365.0,0.37046,38790.7
2424,2016,176044,242400,0.738607,0.660361,0.473775,0.349957,0.27171100000000004,1163.0,0.426263,23046.9
2415,2016,176053,241500,0.402928,0.576271,0.365177,0.265023,0.16641,1298.0,0.25672399999999995,59157.5
23028,2016,176062,2302800,0.666667,,,,,36.0,,26248.7
2417,2016,176071,241700,0.6385149999999999,0.351468,0.18445599999999998,0.107427,0.0666667,5790.0,0.43515,29068.5
2423,2016,176080,242300,0.388937,0.49739399999999995,0.283956,0.179554,0.117434,6906.0,0.248577,60272.0
2426,2016,176169,242600,0.607909,0.31777,0.167222,0.0990948,0.0557408,2099.0,0.447383,28941.7
