year,fips,unitid,sex,number_applied,number_admitted,number_enrolled_ft,number_enrolled_pt,number_enrolled_total
2017,1,101879,2,2462.0,1766.0,705.0,13.0,718.0
2017,1,101879,99,3969.0,2787.0,1108.0,20.0,1128.0
2017,1,101897,1,,,,,
2017,1,101897,2,,,,,
2017,1,101897,99,,,,,
2017,1,101912,1,966.0,443.0,145.0,1.0,146.0
2017,1,101912,2,1507.0,721.0,221.0,1.0,222.0
2017,1,101912,99,2473.0,1164.0,366.0,2.0,368.0
2017,1,101949,1,,,,,
2017,1,101949,2,,,,,
2017,1,101949,99,,,,,
2017,17,101958,1,,,,,
2017,17,101958,2,,,,,
2017,17,101958,99,,,,,
2017,1,101994,1,,,,,
2017,1,101994,2,,,,,
2017,1,101994,99,,,,,
2017,1,102030,1,,,,,
2017,1,102030,2,,,,,
2017,1,102030,99,,,,,
2017,1,102049,1,1262.0,1020.0,277.0,0.0,277.0
2017,1,102049,2,2546.0,2148.0,580.0,0.0,580.0
2017,1,102049,99,3808.0,3168.0,857.0,0.0,857.0
2017,1,102058,1,,,,,
2017,1,102058,2,,,,,
2017,1,102058,99,,,,,
2017,1,102067,1,,,,,
2017,1,102067,2,,,,,
2017,1,102067,99,,,,,
2017,1,102076,1,,,,,
2017,1,102076,2,,,,,
2017,1,102076,99,,,,,
2017,1,102094,1,2247.0,1781.0,723.0,6.0,729.0
2017,1,102094,2,3651.0,3060.0,1147.0,10.0,1157.0
2017,1,102094,99,5898.0,4841.0,1870.0,16.0,1886.0
2017,1,102234,1,2771.0,1271.0,145.0,,145.0
2017,1,102234,2,5773.0,2632.0,250.0,,250.0
2017,1,102234,99,8544.0,3903.0,395.0,,395.0
2017,1,102261,1,,,,,
2017,1,102261,2,,,,,
2017,1,102261,99,,,,,
2017,1,102270,1,1661.0,762.0,47.0,43.0,90.0
2017,1,102270,2,3427.0,1696.0,71.0,2.0,73.0
2017,1,102270,99,5123.0,2465.0,118.0,45.0,163.0
2017,1,102298,1,,,,,
2017,1,102298,2,,,,,
2017,1,102298,99,,,,,
2017,1,102313,1,,,,,
2017,1,102313,2,,,,,
2017,1,102313,99,,,,,
2017,1,102368,1,2915.0,2586.0,793.0,114.0,907.0
2017,1,102368,2,4452.0,3906.0,1105.0,148.0,1253.0
2017,1,102368,99,7367.0,6492.0,1898.0,262.0,2160.0
2017,1,102377,1,3570.0,1724.0,272.0,1.0,273.0
2017,1,102377,2,7390.0,3791.0,476.0,0.0,476.0
2017,1,102377,99,10960.0,5515.0,748.0,1.0,749.0
2017,1,102395,1,,,,,
2017,1,102395,2,,,,,
2017,1,102395,99,,,,,
2017,1,102429,1,,,,,
2017,1,102429,2,,,,,
2017,1,102429,99,,,,,
2017,2,102553,1,1669.0,1353.0,614.0,230.0,844.0
2017,2,102553,2,2047.0,1725.0,730.0,303.0,1033.0
2017,2,102553,99,3716.0,3078.0,1344.0,533.0,1877.0
2017,2,102580,1,,,,,
2017,2,102580,2,,,,,
2017,2,102580,99,,,,,
2017,2,102614,1,717.0,559.0,311.0,63.0,374.0
2017,2,102614,2,914.0,692.0,327.0,103.0,430.0
2017,2,102614,99,1631.0,1251.0,638.0,166.0,804.0
2017,2,102632,1,182.0,137.0,74.0,13.0,87.0
2017,2,102632,2,267.0,182.0,81.0,25.0,106.0
2017,2,102632,99,449.0,319.0,155.0,38.0,193.0
2017,2,102669,1,145.0,119.0,7.0,0.0,7.0
2017,2,102669,2,305.0,268.0,21.0,3.0,24.0
2017,2,102669,99,450.0,387.0,28.0,3.0,31.0
2017,2,102711,1,,,,,
2017,2,102711,2,,,,,
2017,2,102711,99,,,,,
2017,53,102845,1,,,,,
2017,53,102845,2,,,,,
2017,53,102845,99,,,,,
2017,2,103501,1,,,,,
2017,2,103501,2,,,,,
2017,2,103501,99,,,,,
2017,2,103529,1,,,,,
2017,2,103529,2,,,,,
2017,2,103529,99,,,,,
2017,4,103741,1,,,,,
2017,4,103741,2,,,,,
2017,4,103741,99,,,,,
2017,4,103778,1,,,,,
2017,4,103778,2,,,,,
2017,4,103778,99,,,,,
2017,4,103811,1,,,,,
2017,4,103811,2,,,,,
2017,4,103811,99,,,,,
2017,4,103893,1,54.0,38.0,16.0,,16.0
2017,4,103893,2,283.0,200.0,106.0,,106.0
2017,4,103893,99,337.0,238.0,122.0,,122.0
2017,4,103909,1,42.0,21.0,12.0,0.0,12.0
2017,4,103909,2,222.0,125.0,58.0,0.0,58.0
2017,4,103909,99,264.0,146.0,70.0,0.0,70.0
2017,4,103927,1,24.0,21.0,16.0,,16.0
2017,4,103927,2,67.0,65.0,41.0,,41.0
2017,4,103927,99,91.0,86.0,57.0,,57.0
2017,4,103945,1,,,,,
2017,4,103945,2,,,,,
2017,4,103945,99,,,,,
2017,4,103954,1,,,,,
2017,4,103954,2,,,,,
2017,4,103954,99,,,,,
2017,4,103963,1,,,,,
2017,4,103963,2,,,,,
2017,4,103963,99,,,,,
2017,4,104090,1,,,,,
2017,4,104090,2,,,,,
2017,4,104090,99,,,,,
2017,4,104151,1,12627.0,10495.0,4224.0,25.0,4249.0
2017,4,104151,2,11500.0,9807.0,3598.0,27.0,3625.0
2017,4,104151,99,24127.0,20302.0,7822.0,52.0,7874.0
2017,4,104160,1,,,,,
2017,4,104160,2,,,,,
2017,4,104160,99,,,,,
2017,4,104179,1,14743.0,12082.0,2654.0,667.0,3321.0
2017,4,104179,2,18865.0,16007.0,3248.0,791.0,4039.0
2017,4,104179,99,33608.0,28089.0,5902.0,1458.0,7360.0
2017,4,104188,1,,,,,
2017,4,104188,2,,,,,
2017,4,104188,99,,,,,
2017,4,104346,1,,,,,
2017,4,104346,2,,,,,
2017,4,104346,99,,,,,
2017,4,104364,1,,,,,
2017,4,104364,2,,,,,
2017,4,104364,99,,,,,
2017,4,104391,1,,,,,
2017,4,104391,2,,,,,
2017,4,104391,99,,,,,
2017,4,104425,1,,,,,
2017,4,104425,2,,,,,
2017,4,104425,99,,,,,
2017,4,104434,1,,,,,
2017,4,104434,2,,,,,
2017,4,104434,99,,,,,
2017,4,104443,1,,,,,
2017,4,104443,2,,,,,
2017,4,104443,99,,,,,
2017,4,104504,1,,,,,
2017,4,104504,2,,,,,
2017,4,104504,99,,,,,
2017,4,104568,1,,,,,
2017,4,104568,2,,,,,
2017,4,104568,99,,,,,
2017,4,104577,1,,,,,
2017,4,104577,2,,,,,
2017,4,104577,99,,,,,
2017,4,104586,1,1604.0,1234.0,506.0,2.0,508.0
2017,4,104586,2,564.0,425.0,172.0,1.0,173.0
2017,4,104586,99,2168.0,1659.0,678.0,3.0,681.0
2017,4,104665,1,,,,,
2017,4,104665,2,,,,,
2017,4,104665,99,,,,,
2017,4,104708,1,,,,,
2017,4,104708,2,,,,,
2017,4,104708,99,,,,,
2017,4,104717,1,9009.0,7190.0,1040.0,258.0,1298.0
2017,4,104717,2,18053.0,14152.0,1608.0,609.0,2217.0
2017,4,104717,99,32734.0,21906.0,2648.0,867.0,3515.0
2017,4,104911,1,,,,,
2017,4,104911,2,,,,,
2017,4,104911,99,,,,,
2017,4,105136,1,,,,,
2017,4,105136,2,,,,,
2017,4,105136,99,,,,,
2017,4,105145,1,,,,,
2017,4,105145,2,,,,,
2017,4,105145,99,,,,,
2017,4,105154,1,,,,,
2017,4,105154,2,,,,,
2017,4,105154,99,,,,,
2017,4,105163,1,,,,,
2017,4,105163,2,,,,,
2017,4,105163,99,,,,,
2017,4,105172,1,,,,,
2017,4,105172,2,,,,,
2017,4,105172,99,,,,,
2017,4,105206,1,,,,,
2017,4,105206,2,,,,,
2017,4,105206,99,,,,,
2017,4,105215,1,,,,,
2017,4,105215,2,,,,,
2017,4,105215,99,,,,,
2017,4,105297,1,,,,,
2017,4,105297,2,,,,,
2017,4,105297,99,,,,,
2017,4,105330,1,13957.0,10823.0,1897.0,329.0,2226.0
2017,4,105330,2,22918.0,18989.0,3364.0,310.0,3674.0
2017,4,105330,99,36875.0,29812.0,5261.0,639.0,5900.0
2017,4,105349,1,,,,,
2017,4,105349,2,,,,,
2017,4,105349,99,,,,,
2017,4,105367,1,,,,,
2017,4,105367,2,,,,,
2017,4,105367,99,,,,,
2017,4,105428,1,,,,,
2017,4,105428,2,,,,,
2017,4,105428,99,,,,,
2017,4,105482,1,,,,,
2017,4,105482,2,,,,,
2017,4,105482,99,,,,,
2017,4,105525,1,,,,,
2017,4,105525,2,,,,,
2017,4,105525,99,,,,,
2017,4,105534,1,,,,,
2017,4,105534,2,,,,,
2017,4,105534,99,,,,,
2017,35,105543,1,,,,,
2017,35,105543,2,,,,,
2017,35,105543,99,,,,,
2017,4,105589,1,124.0,115.0,21.0,,21.0
2017,4,105589,2,277.0,267.0,44.0,,44.0
2017,4,105589,99,401.0,382.0,65.0,,65.0
2017,4,105659,1,,,,,
2017,4,105659,2,,,,,
2017,4,105659,99,,,,,
2017,4,105668,1,,,,,
2017,4,105668,2,,,,,
2017,4,105668,99,,,,,
2017,4,105677,1,,,,,
2017,4,105677,2,,,,,
2017,4,105677,99,,,,,
2017,4,105701,1,,,,,
2017,4,105701,2,,,,,
2017,4,105701,99,,,,,
2017,4,105747,1,,,,,
2017,4,105747,2,,,,,
2017,4,105747,99,,,,,
2017,4,105792,1,,,,,
2017,4,105792,2,,,,,
2017,4,105792,99,,,,,
2017,4,105899,1,383.0,247.0,84.0,1.0,85.0
2017,4,105899,2,216.0,139.0,68.0,0.0,68.0
2017,4,105899,99,599.0,386.0,152.0,1.0,153.0
2017,4,105987,1,,,,,
2017,4,105987,2,,,,,
2017,4,105987,99,,,,,
2017,4,106041,1,,,,,
2017,4,106041,2,,,,,
2017,4,106041,99,,,,,
2017,4,106102,1,,,,,
2017,4,106102,2,,,,,
2017,4,106102,99,,,,,
2017,4,106111,1,,,,,
2017,4,106111,2,,,,,
2017,4,106111,99,,,,,
2017,4,106148,1,,,,,
2017,4,106148,2,,,,,
2017,4,106148,99,,,,,
2017,5,106245,1,895.0,669.0,300.0,22.0,322.0
2017,5,106245,2,1214.0,905.0,397.0,23.0,420.0
2017,5,106245,99,2109.0,1574.0,697.0,45.0,742.0
2017,5,106263,1,,,,,
2017,5,106263,2,,,,,
2017,5,106263,99,,,,,
2017,5,106306,1,,,,,
2017,5,106306,2,,,,,
2017,5,106306,99,,,,,
2017,5,106315,1,,,,,
2017,5,106315,2,,,,,
2017,5,106315,99,,,,,
2017,5,106324,1,,,,,
2017,5,106324,2,,,,,
2017,5,106324,99,,,,,
2017,5,106342,1,967.0,595.0,106.0,,106.0
2017,5,106342,2,682.0,464.0,84.0,,84.0
2017,5,106342,99,1650.0,1059.0,190.0,,190.0
2017,5,106351,1,,,,,
2017,5,106351,2,,,,,
2017,5,106351,99,,,,,
2017,5,106360,1,,,,,
2017,5,106360,2,,,,,
2017,5,106360,99,,,,,
2017,5,106397,1,9036.0,5945.0,2270.0,13.0,2283.0
2017,5,106397,2,12679.0,8379.0,2762.0,21.0,2783.0
2017,5,106397,99,21715.0,14324.0,5032.0,34.0,5066.0
2017,5,106412,1,1678.0,714.0,194.0,3.0,197.0
2017,5,106412,2,2715.0,1337.0,313.0,4.0,317.0
2017,5,106412,99,4393.0,2051.0,507.0,7.0,514.0
2017,5,106449,1,,,,,
2017,5,106449,2,,,,,
2017,5,106449,99,,,,,
2017,5,106458,1,2348.0,1525.0,562.0,11.0,573.0
2017,5,106458,2,3335.0,2227.0,843.0,11.0,854.0
2017,5,106458,99,5683.0,3752.0,1405.0,22.0,1427.0
2017,5,106467,1,2214.0,2084.0,877.0,32.0,909.0
2017,5,106467,2,2792.0,2659.0,880.0,57.0,937.0
2017,5,106467,99,5006.0,4743.0,1757.0,89.0,1846.0
2017,5,106485,1,,,,,
2017,5,106485,2,,,,,
2017,5,106485,99,,,,,
2017,5,106494,1,,,,,
2017,5,106494,2,,,,,
2017,5,106494,99,,,,,
2017,5,106546,1,6.0,6.0,4.0,,4.0
2017,5,106546,2,10.0,5.0,3.0,,3.0
2017,5,106546,99,16.0,11.0,7.0,,7.0
2017,5,106625,1,,,,,
2017,5,106625,2,,,,,
2017,5,106625,99,,,,,
2017,5,106704,1,1959.0,1700.0,718.0,4.0,722.0
2017,5,106704,2,3403.0,3123.0,1209.0,6.0,1215.0
2017,5,106704,99,5362.0,4823.0,1927.0,10.0,1937.0
2017,5,106713,1,230.0,148.0,89.0,0.0,89.0
2017,5,106713,2,149.0,108.0,47.0,0.0,47.0
2017,5,106713,99,379.0,256.0,136.0,0.0,136.0
2017,5,106795,1,,,,,
2017,5,106795,2,,,,,
2017,5,106795,99,,,,,
2017,5,106810,1,,,,,
2017,5,106810,2,,,,,
2017,5,106810,99,,,,,
2017,5,106829,1,,,,,
2017,5,106829,2,,,,,
2017,5,106829,99,,,,,
2017,5,106883,1,,,,,
2017,5,106883,2,,,,,
2017,5,106883,99,,,,,
2017,5,106892,1,,,,,
2017,5,106892,2,,,,,
2017,5,106892,99,,,,,
2017,5,106908,1,,,,,
2017,5,106908,2,,,,,
2017,5,106908,99,,,,,
2017,5,106980,1,,,,,
2017,5,106980,2,,,,,
2017,5,106980,99,,,,,
2017,5,106999,1,,,,,
2017,5,106999,2,,,,,
2017,5,106999,99,,,,,
2017,5,107044,1,888.0,635.0,408.0,1.0,409.0
2017,5,107044,2,1135.0,824.0,536.0,0.0,536.0
2017,5,107044,99,2023.0,1459.0,944.0,1.0,945.0
2017,5,107071,1,931.0,772.0,280.0,1.0,281.0
2017,5,107071,2,1436.0,1114.0,335.0,1.0,336.0
2017,5,107071,99,2367.0,1886.0,615.0,2.0,617.0
2017,5,107080,1,656.0,524.0,168.0,,168.0
2017,5,107080,2,809.0,645.0,170.0,,170.0
2017,5,107080,99,1465.0,1169.0,338.0,,338.0
2017,5,107099,1,,,,,
2017,5,107099,2,,,,,
2017,5,107099,99,,,,,
2017,5,107123,1,,,,,
2017,5,107123,2,,,,,
2017,5,107123,99,,,,,
2017,5,107141,1,410.0,327.0,152.0,,152.0
2017,5,107141,2,788.0,581.0,174.0,,174.0
2017,5,107141,99,1198.0,908.0,326.0,,326.0
2017,5,107220,1,,,,,
2017,5,107220,2,,,,,
2017,5,107220,99,,,,,
2017,5,107293,1,,,,,
2017,5,107293,2,,,,,
2017,5,107293,99,,,,,
2017,5,107318,1,,,,,
2017,5,107318,2,,,,,
2017,5,107318,99,,,,,
2017,5,107327,1,,,,,
2017,5,107327,2,,,,,
2017,5,107327,99,,,,,
2017,5,107442,1,,,,,
2017,5,107442,2,,,,,
2017,5,107442,99,,,,,
2017,5,107460,1,,,,,
