year,fips,unitid,reqt_hs_diploma,reqt_hs_rank,reqt_test_scores,reqt_sat_scores,reqt_other_test,reqt_residence,reqt_ability_to_benefit,reqt_age,reqt_toefl,reqt_other,years_college_reqd,no_entering_freshmen,open_admissions_policy,reqt_hs_gpa,reqt_hs_record,reqt_college_prep,reqt_recommendations,reqt_competencies,sat_act_report_period,sat_number_submitting,sat_percent_submitting,act_number_submitting,act_percent_submitting,sat_crit_read_25_pctl,sat_crit_read_75_pctl,sat_math_25_pctl,sat_math_75_pctl,act_composite_25_pctl,act_composite_75_pctl,act_english_25_pctl,act_english_75_pctl,act_math_25_pctl,act_math_75_pctl,sat_writing_25_pctl,sat_writing_75_pctl,act_writing_25_pctl,act_writing_75_pctl
2017,1,101602,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,101648,,0.0,1.0,,0.0,,,,1.0,,-2.0,,0.0,1.0,1.0,1.0,0.0,0.0,,92.0,32.0,234.0,83.0,530.0,630.0,540.0,640.0,19.0,26.0,18.0,25.0,17.0,26.0,,,,
2017,1,101675,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,101693,,2.0,1.0,,0.0,,,,1.0,,-2.0,,0.0,1.0,1.0,2.0,0.0,0.0,,23.0,10.0,204.0,89.0,460.0,560.0,450.0,540.0,20.0,25.0,20.0,25.0,18.0,23.0,,,,
2017,1,101709,,2.0,1.0,,0.0,,,,1.0,,-2.0,,0.0,1.0,1.0,2.0,0.0,0.0,,10.0,2.0,477.0,98.0,440.0,620.0,460.0,580.0,20.0,26.0,21.0,28.0,18.0,25.0,,,,
2017,1,101736,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,101879,,0.0,1.0,,0.0,,,,1.0,,-2.0,,0.0,1.0,1.0,2.0,0.0,0.0,,25.0,2.0,1092.0,97.0,515.0,610.0,455.0,580.0,19.0,25.0,19.0,25.0,17.0,24.0,,,,
2017,1,101897,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,101912,,0.0,1.0,,0.0,,,,2.0,,-2.0,,0.0,1.0,1.0,2.0,2.0,0.0,,160.0,43.0,279.0,76.0,460.0,570.0,430.0,530.0,17.0,22.0,16.0,23.0,16.0,20.0,,,,
2017,1,101949,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,17,101958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,101994,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,102030,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,102049,,3.0,1.0,,2.0,,,,2.0,,-2.0,,0.0,1.0,1.0,3.0,1.0,3.0,,286.0,33.0,738.0,86.0,550.0,650.0,530.0,630.0,23.0,29.0,24.0,31.0,22.0,27.0,,,,
2017,1,102058,,,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
