unitid,year,ftpt,fips,retention_rate,returning_students,prev_cohort,prev_exclusions,prev_cohort_adj
101514,2017,99,1,0.58,1134.0,1969.0,0.0,1969.0
101541,2017,1,1,0.58,49.0,84.0,0.0,84.0
101541,2017,2,1,0.0,0.0,1.0,0.0,1.0
101541,2017,99,1,0.58,49.0,85.0,0.0,85.0
101569,2017,1,1,0.52,329.0,638.0,0.0,638.0
101569,2017,2,1,0.35,70.0,198.0,0.0,198.0
101569,2017,99,1,0.48,399.0,836.0,0.0,836.0
101587,2017,1,1,0.66,245.0,373.0,0.0,373.0
101587,2017,2,1,0.75,3.0,4.0,0.0,4.0
101587,2017,99,1,0.66,248.0,377.0,0.0,377.0
101602,2017,1,1,0.66,272.0,414.0,0.0,414.0
101602,2017,2,1,0.59,23.0,39.0,0.0,39.0
101602,2017,99,1,0.65,295.0,453.0,0.0,453.0
101648,2017,1,1,0.4,109.0,275.0,0.0,275.0
101648,2017,2,1,,,,,
101648,2017,99,1,0.4,109.0,275.0,0.0,275.0
101675,2017,1,1,0.5,214.0,428.0,0.0,428.0
101675,2017,2,1,0.0,0.0,1.0,0.0,1.0
101675,2017,99,1,0.5,214.0,429.0,0.0,429.0
101693,2017,1,1,0.69,153.0,224.0,1.0,223.0
101693,2017,2,1,,0.0,0.0,0.0,0.0
101693,2017,99,1,0.69,153.0,224.0,1.0,223.0
101709,2017,1,1,0.78,367.0,473.0,0.0,473.0
101709,2017,2,1,0.5,2.0,4.0,0.0,4.0
101709,2017,99,1,0.77,369.0,477.0,0.0,477.0
101736,2017,1,1,0.57,430.0,751.0,0.0,751.0
101736,2017,2,1,0.4,95.0,237.0,0.0,237.0
101736,2017,99,1,0.53,525.0,988.0,0.0,988.0
101879,2017,1,1,0.76,892.0,1177.0,0.0,1177.0
101879,2017,2,1,0.58,11.0,19.0,0.0,19.0
101879,2017,99,1,0.76,903.0,1196.0,0.0,1196.0
101897,2017,1,1,0.62,303.0,491.0,0.0,491.0
101897,2017,2,1,0.45,57.0,128.0,0.0,128.0
101897,2017,99,1,0.58,360.0,619.0,0.0,619.0
101912,2017,1,1,0.7,273.0,390.0,0.0,390.0
101912,2017,2,1,1.0,1.0,1.0,0.0,1.0
101912,2017,99,1,0.7,274.0,391.0,0.0,391.0
101949,2017,1,1,0.54,202.0,375.0,0.0,375.0
101949,2017,2,1,0.31,14.0,45.0,0.0,45.0
101949,2017,99,1,0.51,216.0,420.0,0.0,420.0
