year,unitid,reqt_test_scores,open_admissions_policy,reqt_hs_gpa,reqt_recommendations,sat_number_submitting,sat_percent_submitting,act_number_submitting,act_percent_submitting,sat_crit_read_25_pctl,sat_crit_read_75_pctl,sat_math_25_pctl,sat_math_75_pctl,act_composite_25_pctl,act_composite_75_pctl,act_english_25_pctl,act_english_75_pctl,act_math_25_pctl,act_math_75_pctl,sat_writing_25_pctl,sat_writing_75_pctl,act_writing_25_pctl,act_writing_75_pctl
2017,101912,Required,No,Required,Recommended,160.0,43.0,279.0,76.0,460.0,570.0,430.0,530.0,17.0,22.0,16.0,23.0,16.0,20.0,,,,
2017,101949,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,101958,Unreported,Unreported,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,101994,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,102030,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,102049,Required,No,Required,Required,286.0,33.0,738.0,86.0,550.0,650.0,530.0,630.0,23.0,29.0,24.0,31.0,22.0,27.0,,,,
2017,102058,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,102067,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,102076,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,102094,Required,No,Required,Neither required nor recommended,137.0,7.0,1778.0,94.0,510.0,610.0,500.0,590.0,20.0,26.0,21.0,27.0,18.0,25.0,,,,
2017,102234,Required,No,Required,Required,52.0,13.0,309.0,78.0,515.0,600.0,510.0,585.0,21.0,26.0,21.0,28.0,18.0,25.0,,,,
2017,102261,Unreported,Unreported,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,102270,Recommended,No,Required,Neither required nor recommended,,,,,,,,,,,,,,,,,,
2017,102298,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,102313,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,102368,Required,No,Required,Neither required nor recommended,45.0,2.0,1703.0,79.0,480.0,600.0,465.0,605.0,18.0,25.0,18.0,26.0,17.0,24.0,,,,
2017,102377,Required,No,Required,Recommended,216.0,28.0,557.0,74.0,440.0,540.0,420.0,520.0,18.0,24.0,18.0,24.0,16.0,23.0,,,,
2017,102395,Unreported,Unreported,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,102429,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,102553,Recommended,No,Considered,Neither required nor recommended,,,,,,,,,,,,,,,,,,
2017,102580,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,102614,Required,No,Required,Neither required nor recommended,214.0,38.0,424.0,75.0,510.0,640.0,520.0,630.0,17.0,25.0,15.0,24.0,17.0,25.0,,,,
2017,102632,Recommended,No,Required,Neither required nor recommended,,,,,,,,,,,,,,,,,,
2017,102669,Recommended,No,Required,Neither required nor recommended,,,,,,,,,,,,,,,,,,
2017,102711,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,102845,Unreported,No,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,103501,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,103529,Unreported,Unreported,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,103741,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,103778,Unreported,Unreported,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,103811,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,103893,Neither required nor recommended,No,Neither required nor recommended,Neither required nor recommended,,,,,,,,,,,,,,,,,,
2017,103909,Neither required nor recommended,No,Neither required nor recommended,Neither required nor recommended,,,,,,,,,,,,,,,,,,
2017,103927,Neither required nor recommended,No,Neither required nor recommended,Neither required nor recommended,,,,,,,,,,,,,,,,,,
2017,103945,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,103954,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,103963,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,104090,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,104151,Required,No,Recommended,Neither required nor recommended,4284.0,54.0,4796.0,61.0,560.0,670.0,560.0,680.0,22.0,29.0,22.0,29.0,23.0,28.0,,,,
2017,104160,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,104179,Recommended,No,Recommended,Neither required nor recommended,,,,,,,,,,,,,,,,,,
2017,104188,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,104346,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,104364,Unreported,Unreported,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,104391,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,104425,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,104434,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,104443,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,104504,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,104568,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,104577,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,104586,Considered,No,Considered,Required,396.0,58.0,392.0,58.0,560.0,670.0,570.0,680.0,23.0,29.0,22.0,29.0,24.0,28.0,,,,
2017,104665,Unreported,Unreported,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,104708,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,104717,Recommended,No,Required,Neither required nor recommended,,,,,,,,,,,,,,,,,,
2017,104911,Unreported,Unreported,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,105136,Unreported,Unreported,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,105145,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,105154,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,105163,Unreported,Unreported,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,105172,Unreported,Unreported,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,105206,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,105215,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,105297,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,105330,Recommended,No,Required,Neither required nor recommended,,,,,,,,,,,,,,,,,,
2017,105349,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,105367,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,105428,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,105482,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,105525,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,105534,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,105543,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,105589,Considered,No,Required,Required,27.0,42.0,29.0,45.0,570.0,615.0,490.0,570.0,19.0,27.0,20.0,30.0,16.0,24.0,,,,
2017,105659,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,105668,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,105677,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,105701,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,105747,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,105792,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,105899,Required,No,Required,Required,74.0,48.0,97.0,63.0,430.0,540.0,420.0,540.0,15.0,21.0,13.0,20.0,15.0,21.0,,,,
2017,105987,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,106041,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,106102,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,106111,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,106148,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,106245,Required,No,Required,Neither required nor recommended,10.0,1.0,695.0,91.0,540.0,580.0,560.0,580.0,19.0,25.0,18.0,25.0,17.0,24.0,,,,
2017,106263,Unreported,Unreported,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,106306,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,106315,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,106324,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,106342,Required,No,Required,Neither required nor recommended,30.0,16.0,169.0,89.0,510.0,602.0,520.0,632.0,22.0,28.0,21.0,31.0,21.0,27.0,,,,
2017,106351,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,106360,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,106397,Required,No,Required,Neither required nor recommended,1191.0,24.0,4695.0,93.0,560.0,640.0,550.0,640.0,23.0,29.0,23.0,30.0,22.0,28.0,,,,
2017,106412,Required,No,Required,Neither required nor recommended,21.0,4.0,493.0,96.0,448.0,545.0,435.0,515.0,16.0,20.0,15.0,21.0,16.0,19.0,,,,
2017,106449,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,106458,Required,No,Required,Neither required nor recommended,16.0,1.0,1381.0,97.0,508.0,605.0,508.0,625.0,21.0,26.0,22.0,28.0,20.0,26.0,,,,
2017,106467,Recommended,No,Required,Neither required nor recommended,,,,,,,,,,,,,,,,,,
2017,106485,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,106494,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,106546,Required,No,Required,Required,0.0,0.0,7.0,100.0,,,,,19.0,26.0,19.0,25.0,17.0,22.0,,,,
2017,106625,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,106704,Required,No,Required,Neither required nor recommended,75.0,4.0,1825.0,94.0,470.0,555.0,500.0,580.0,21.0,27.0,19.0,25.0,21.0,28.0,,,,
2017,106713,Required,No,Required,Neither required nor recommended,10.0,7.0,128.0,92.0,420.0,555.0,468.0,535.0,18.0,22.0,17.0,23.0,17.0,22.0,,,,
2017,106795,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,106810,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,106829,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,106883,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,106892,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,106908,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,106980,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,106999,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,107044,Required,No,Recommended,Required,270.0,28.0,850.0,90.0,530.0,650.0,520.0,630.0,22.0,28.0,22.0,31.0,21.0,27.0,,,,
2017,107071,Required,No,Required,Neither required nor recommended,28.0,5.0,589.0,95.0,476.0,558.0,478.0,565.0,19.0,25.0,19.0,26.0,18.0,25.0,,,,
2017,107080,Required,No,Required,Considered,76.0,22.0,309.0,91.0,560.0,710.0,540.0,700.0,24.0,31.0,25.0,34.0,24.0,29.0,,,,
2017,107099,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,107123,Unreported,Unreported,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,107141,Required,No,Required,Required,63.0,19.0,286.0,87.0,550.0,680.0,530.0,630.0,24.0,29.0,23.0,32.0,22.0,27.0,,,,
2017,107220,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,107293,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,107318,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,107327,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,107442,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,107460,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,107488,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,107512,Required,No,Required,Neither required nor recommended,83.0,18.0,427.0,91.0,540.0,640.0,480.0,620.0,21.0,28.0,21.0,30.0,20.0,27.0,,,,
2017,107521,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,107549,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,107558,Considered,No,Required,Recommended,57.0,22.0,183.0,71.0,470.0,590.0,460.0,590.0,18.0,23.0,17.0,24.0,17.0,24.0,,,,
2017,107585,Recommended,No,Neither required nor recommended,Neither required nor recommended,,,,,,,,,,,,,,,,,,
2017,107600,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,107619,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,107637,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,107655,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,107664,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,107725,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,107743,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,107789,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,107831,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,107840,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,107877,Required,No,Required,Neither required nor recommended,2.0,1.0,135.0,99.0,,,,,18.0,22.0,15.0,23.0,17.0,22.0,,,,
2017,107974,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,107983,Required,No,Required,Neither required nor recommended,41.0,5.0,829.0,95.0,460.0,570.0,490.0,570.0,19.0,25.0,18.0,25.0,18.0,24.0,,,,
2017,107992,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,108056,Unreported,Unreported,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,108065,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,108092,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,108232,Unreported,Yes,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,108250,Unreported,Unreported,Unreported,Unreported,,,,,,,,,,,,,,,,,,
2017,108269,Unreported,Unreported,Unreported,Unreported,,,,,,,,,,,,,,,,,,
